MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,stock_type,fetch_time
房地产销售,77,1,90904,0,10.92,8.94,20260622,2.98,1.46,-25.34,24.08,24.08,0.67,0.06,16.22,1.33,0.20,0.40,-2.08,-3.50,-6.75,-12.48,-24.11,-30.85,-26.02,-6.75,-13.03,-187.05,-122.14,3493.00,5956.00,44615.00,35431.00,17252,37779,0.00,0.00,-0.20,557900.00,0.00,4.63,47.00,6538.02,19103.70,0.00,0.00,0,1,0,0,2,7,10.03,25.62,9.45,2.38,0.00,0.49,-70.93,-15.99,-15.78,0.00,1.74,0,0,0,0,0,15971.02,55.79,-1483.78,1037.14,36196.20,1167.06,0.00,73,0,0,0,0,20090430,0,20260430,20260310,20251031,20251023,0,000014.SZ,stock,2026-06-22 22:02:03
"其他业务,彩电业务",1,1,41313,0,2.81,2.55,20260622,1.93,1.34,-57.92,61.64,40.87,2.14,0.12,85.35,0.38,-4.48,-4.96,-2.76,-9.86,-19.49,-22.43,-17.15,-14.95,-48.49,-26.01,-45.53,161.18,-773.27,3766.00,35022.00,61378.00,151831.00,5835,9695,0.00,0.00,-2.61,1282000.00,0.00,23.49,833.00,8070.61,21095.78,-96.56,0.00,0,1,0,0,-3,8,2.76,6.50,2.55,3.90,0.00,0.82,-8.38,-0.51,-0.50,0.00,0.00,0,0,0,0,0,107257.14,128.20,-17981.20,8682.86,393995.03,23789.67,500000.00,12053,0,0,0,0,20160302,0,20260429,20260525,20260618,20260506,20241230,000016.SZ,stock,2026-06-22 22:02:03
珠宝黄金,83,2,130901,0,5.67,4.64,20260622,1.99,1.03,-54.45,36.04,23.05,1.62,0.12,60.62,-0.18,1.55,-0.19,-2.09,1.75,-1.70,-8.41,-18.67,-18.03,-33.54,-3.33,-23.08,445.37,-168.21,3257.00,8543.00,63806.00,37063.00,12188,25461,0.00,0.00,0.19,50100.00,0.00,11.76,228.00,3272.14,11664.51,0.00,0.00,0,1,0,0,1,5,5.20,9.23,4.90,3.75,0.00,0.72,147.35,86.30,85.86,0.00,9.24,0,0,0,0,0,23947.62,5.01,459.02,26.31,4762.21,3.35,0.00,90,0,0,0,0,20251107,20221107,20260429,20251218,20251124,20251120,0,000017.SZ,stock,2026-06-22 22:02:03
粮油贸易及加工,89,3,90108,0,6.64,5.44,20260622,1.86,0.77,17.36,70.30,25.39,1.11,0.07,56.12,0.00,0.99,-0.96,-2.20,-5.60,-3.10,-7.56,-18.68,-10.10,-10.49,-3.55,-5.88,253.59,-515.28,8806.00,9068.00,48614.00,27822.00,7277,15723,0.00,0.00,0.66,383000.00,0.00,13.93,225.00,3718.31,13585.52,0.00,0.00,0,1,0,0,1,2,6.17,8.58,5.94,2.10,0.00,0.29,27.06,29.19,32.74,1.95,1.39,0,0,0,0,0,27070.64,38.30,4884.30,620.48,8857.87,26119.73,0.00,1136,0,0,0,0,20140707,20181112,20260428,20260407,20200715,20250408,0,000019.SZ,stock,2026-06-22 22:02:03
显示器,47,0,90110,0,12.69,10.39,20260622,2.21,1.12,21.57,32.96,21.09,1.58,0.21,50.40,-0.42,0.87,-2.78,-2.70,-0.42,-6.58,-11.88,-19.28,-44.57,-16.08,-6.58,-23.22,439.90,25.91,2626.00,3703.00,38390.00,17927.00,10940,23286,0.00,0.00,-0.78,43500.00,0.00,23.13,195.00,3938.60,12933.95,0.00,0.00,0,1,0,0,1,9,11.84,25.66,11.10,1.90,0.00,0.70,158.37,92.20,94.11,0.00,7.42,0,0,0,0,0,6187.55,4.35,479.78,319.20,19772.98,0.00,0.00,496,0,0,0,0,20151229,0,20260421,20260320,20260508,20260508,0,000020.SZ,stock,2026-06-22 22:02:03
"计量智能终端,高端制造",100,4,80808,0,48.44,39.64,20260622,12.23,1.22,26.85,734.92,734.81,0.88,0.34,5940.12,0.00,5.99,2.63,5.25,25.86,23.13,24.45,51.56,65.30,86.27,17.97,172.82,6153.88,6575.86,47387.00,95687.00,618396.00,663516.00,373481,697313,0.00,0.00,3.00,98682400.00,1000.00,7663.72,17885.00,823641.09,2397976.17,0.00,0.00,0,1,0,0,5,5,42.77,47.00,16.40,4.65,0.00,1.75,75.87,61.05,57.83,0.50,5.50,0,0,0,0,0,103558.03,9868.24,14276.55,8958.73,810120.14,14563.85,0.00,29330,0,0,0,0,20211122,20210520,20260429,20260518,20260202,20260526,0,000021.SZ,stock,2026-06-22 22:02:03
"租赁及服务,珠宝销售及服务",97,0,11313,0,16.91,13.83,20260622,1.94,0.75,53.16,67.29,61.31,2.79,0.24,313.45,-0.05,1.56,-3.15,0.57,2.57,2.16,4.90,-2.74,1.76,-10.60,-0.32,-10.85,255.83,314.21,5992.00,14623.00,34065.00,37919.00,8822,18543,0.00,0.00,0.00,582500.00,0.00,30.46,194.00,14800.20,42576.28,0.00,0.00,0,1,0,0,1,4,15.64,21.14,13.76,4.18,0.00,0.24,50.55,46.37,46.69,0.72,3.62,0,0,0,0,0,18118.67,58.25,2824.90,96.66,24215.24,1019.16,0.00,179,0,0,0,0,20180419,20150327,20260428,20260610,20250407,20250418,0,000025.SZ,stock,2026-06-22 22:02:03
名表全面服务业务,98,4,10608,0,23.44,19.18,20260622,4.12,1.33,32.13,88.50,79.51,1.57,0.24,409.59,0.00,2.35,-0.05,2.70,6.86,-2.81,-14.23,10.27,67.25,34.14,-8.47,87.53,143.84,2359.05,5582.00,10045.00,74742.00,65859.00,32686,69426,0.00,0.00,-0.05,1065000.00,0.00,87.34,412.00,24334.19,85094.87,0.00,0.00,0,1,0,0,1,12,21.17,27.67,11.00,3.60,0.00,0.51,34.00,99.03,80.74,0.56,2.60,0,0,0,0,0,20158.34,106.50,6226.06,1971.92,74696.97,1103.32,0.00,3156,0,0,0,0,20250205,20160115,20260425,20260522,20260526,20260526,0,000026.SZ,stock,2026-06-22 22:02:03
"生态环保,电力-燃机",100,3,100808,0,7.57,6.19,20260622,1.02,0.86,-19.42,333.97,333.97,0.90,0.08,242.89,0.00,2.03,-6.65,0.55,-2.50,-3.70,-3.96,-0.84,0.29,7.67,-13.12,10.03,2279.98,1425.24,46493.00,38638.00,240264.00,186019.00,38950,76975,0.00,0.00,-0.15,2500000.00,0.00,47.29,646.00,53756.44,122891.20,0.00,0.00,0,1,0,0,1,1,7.18,8.48,6.24,3.50,0.00,0.78,6.68,15.56,16.36,2.33,1.00,0,0,0,0,0,118860.51,250.00,120829.72,2477.96,1087003.24,99613.68,1949981.08,12455,0,0,0,0,20160225,20130208,20260430,20251023,20210325,20251023,0,000027.SZ,stock,2026-06-22 22:02:03
药品,93,5,11407,0,24.86,20.34,20260622,0.64,1.65,36.23,125.51,107.80,1.23,0.05,91.66,0.31,-0.22,-0.26,0.67,-0.44,-1.05,-5.25,-8.07,-7.84,-8.18,-4.53,-8.70,-1231.92,-1193.69,4758.00,8174.00,13157.00,13825.00,6870,15992,0.00,0.00,-0.58,267400.00,0.00,40.37,178.00,4378.77,14583.17,0.00,0.00,0,1,0,0,-2,0,22.63,27.43,21.84,3.50,0.00,0.14,10.91,11.07,11.48,2.73,0.66,0,0,0,0,0,16629.04,26.74,28005.25,151.33,517915.55,36148.96,0.00,28336,0,0,0,0,20200106,20170105,20260430,20240125,0,20230316,0,000028.SZ,stock,2026-06-22 22:02:03
住宅,80,1,81008,0,32.15,26.31,20260622,1.30,1.13,-32.94,295.81,260.72,1.00,0.09,439.77,1.48,0.03,2.31,3.44,15.57,26.85,14.85,33.76,57.45,33.03,18.33,48.05,2232.50,-1054.66,5221.00,7433.00,57840.00,60561.00,21284,47611,0.00,0.00,1.03,2285600.00,0.00,381.71,1323.00,28509.04,99885.70,0.00,0.00,0,9,3,0,4,8,27.95,33.97,17.67,3.80,0.00,0.81,-1883.27,295.84,1252.58,0.12,8.19,0,0,0,0,0,27312.43,228.56,-764.09,0.00,29128.16,2476.51,0.00,210,0,0,0,0,20090326,0,20260430,20260616,20260520,20260610,0,000029.SZ,stock,2026-06-22 22:02:03
"其他产品,智能底盘产品",100,5,10913,0,4.69,3.83,20260622,0.67,0.88,-29.33,73.61,71.51,0.77,0.04,39.12,0.00,0.47,-0.70,-2.05,-1.61,-5.31,-9.13,-16.24,-8.74,-25.43,-6.55,-23.57,-147.30,63.83,9198.00,19656.00,69791.00,58497.00,8094,17363,0.00,0.00,-0.70,77400.00,0.00,9.46,221.00,3718.69,13253.58,0.00,0.00,0,1,0,0,1,1,4.32,6.28,4.14,4.55,0.00,0.64,14.76,10.43,11.03,3.52,0.86,0,0,0,0,0,46318.90,7.74,9957.39,15102.87,225634.84,4653.12,0.00,8144,0,0,0,0,20160330,20130321,20260422,20260331,20250407,20200714,0,000030.SZ,stock,2026-06-22 22:02:03
商品房销售及一级土地开发,85,2,90404,0,2.56,2.10,20260622,1.07,1.15,-25.56,100.73,100.73,0.53,0.05,67.61,0.00,0.86,-1.69,-0.84,-6.00,-11.33,-10.98,-23.95,-15.77,-16.67,-9.96,-9.61,-527.74,1281.44,42511.00,37829.00,304912.00,234610.00,14912,32078,0.00,0.00,-0.43,276500.00,0.00,18.75,791.00,9196.39,28724.38,0.00,0.00,0,1,0,0,1,3,2.38,4.10,2.25,4.38,0.00,0.33,-11.39,-4.25,-4.32,0.00,0.98,0,0,0,0,0,110249.61,27.65,-19809.79,35.32,1921901.16,979793.82,0.00,5906,0,0,0,0,20250804,20200106,20260430,20260601,20250407,20260130,0,000031.SZ,stock,2026-06-22 22:02:03
洁净室整体解决方案,73,6,60604,0,27.06,22.14,20260622,7.99,0.74,2.97,298.81,279.82,0.83,0.25,1965.95,4.04,-0.04,5.94,1.44,29.97,54.66,28.28,34.60,43.30,27.21,49.48,28.95,-15949.50,-12111.62,15575.00,48315.00,304158.00,290093.00,218779,341867,0.00,0.00,-0.57,36167000.00,400.00,4097.92,17550.00,366682.24,954673.15,0.00,0.00,0,7,4,0,-1,5,23.22,28.58,14.96,3.36,0.00,1.45,-90.65,-235.25,-170.41,0.10,4.05,0,0,0,0,0,63473.80,3616.70,-10234.78,24258.49,1339237.27,311278.26,0.00,18360,0,0,0,0,20250613,20260130,20260428,20260616,20250407,20260612,0,000032.SZ,stock,2026-06-22 22:02:03
消费电子业务,75,2,10104,0,29.24,23.92,20260622,3.97,0.76,43.67,267.00,222.99,1.29,0.11,714.37,-0.29,-1.20,-0.41,0.83,17.60,7.45,-9.67,-7.95,11.60,-5.33,1.62,1.08,-11101.82,-2099.01,14754.00,36933.00,136316.00,132218.00,81039,149440,0.00,0.00,-0.60,2700100.00,0.00,737.53,2775.00,98076.72,327730.66,0.00,0.00,0,4,1,0,-2,1,26.01,35.23,22.05,5.20,0.00,1.56,28.28,51.68,49.89,0.20,2.38,0,0,0,0,0,79497.56,270.01,23311.82,9592.73,727249.10,452432.23,0.00,5548,0,20241031,0,0,20220808,20160302,20260428,20260616,20250407,20250214,0,000034.SZ,stock,2026-06-22 22:02:03
供电及垃圾处理服务,77,3,90112,0,5.58,4.56,20260622,1.82,1.23,-65.31,125.13,121.20,1.27,0.08,124.97,0.00,3.35,-0.59,-0.20,4.80,-4.90,-12.52,-20.49,-22.71,-5.07,-11.03,22.14,3334.99,1154.52,30708.00,55436.00,265980.00,163996.00,28323,54560,0.00,0.00,-0.79,291700.00,0.00,17.26,339.00,14034.91,53672.16,0.00,0.00,0,1,0,0,1,6,5.10,8.60,4.18,3.90,0.00,0.85,28.26,42.64,41.83,0.71,1.16,0,0,0,0,0,146319.64,29.17,12503.60,1311.28,166667.10,4657.80,0.00,18035,0,0,20231009,0,20201023,20191023,20260429,20260324,20250407,20260310,0,000035.SZ,stock,2026-06-22 22:02:03
"房产销售,房地产出租",85,2,101408,0,5.39,4.41,20260622,2.02,1.07,-23.17,69.77,69.73,0.67,0.04,32.40,0.82,1.43,-4.67,-0.19,-3.31,-2.74,-8.64,-18.13,10.20,-24.70,-4.24,41.19,1001.57,-27.43,17782.00,22175.00,135041.00,118351.00,27157,46522,0.00,0.00,-0.20,994100.06,0.00,16.38,320.00,13608.33,41070.80,0.00,0.00,0,1,0,0,1,10,5.08,7.81,3.38,2.60,0.00,0.99,66.99,98.06,76.05,0.00,1.36,0,0,0,0,0,98431.03,99.41,2615.25,0.00,170379.90,20520.05,0.00,659,0,20250410,0,0,20180705,0,20260430,20260508,20260126,20260123,0,000036.SZ,stock,2026-06-22 22:02:03
"综合能源服务,电力生产销售",87,3,101212,0,11.37,9.31,20260622,10.28,0.80,60.29,61.12,34.37,1.53,0.55,535.80,0.00,-1.93,-9.98,-1.45,-9.60,-7.13,2.82,-8.80,0.79,22.82,-11.57,8.30,-3647.95,-1370.17,22814.00,23384.00,145484.00,117583.00,31853,57344,0.00,0.00,-2.32,4169300.00,0.00,155.51,1375.00,51208.33,134654.98,-889.75,0.00,0,1,0,0,-3,10,10.98,13.19,8.17,4.60,0.00,0.46,127.06,38.81,33.72,0.31,3.62,0,0,0,0,0,20013.52,416.93,879.72,262.03,17112.74,508.11,0.00,305,0,0,0,0,20090527,0,20260429,20260609,20260618,20260618,0,000037.SZ,stock,2026-06-22 22:02:03
集装箱制造,80,7,10410,0,9.77,7.99,20260622,2.24,1.02,14.82,206.78,206.67,0.79,0.04,245.42,-0.33,1.13,-2.31,-0.76,0.11,-9.02,-13.07,-29.90,-14.88,-11.00,-18.51,18.78,-1864.71,-2105.35,19118.00,18799.00,177941.00,204775.00,74145,116817,0.00,0.00,-1.35,1797600.00,0.00,129.46,1424.00,48606.04,129787.61,0.00,0.00,0,1,0,0,1,5,9.10,14.37,7.48,8.50,0.00,1.10,57.94,216.85,-419.98,1.96,1.04,0,0,0,0,0,202638.85,179.76,16744.50,58636.80,2511795.40,1721481.22,403243.32,51541,0,20250930,0,0,20090615,0,20260429,20260429,20260521,20260521,0,000039.SZ,stock,2026-06-22 22:02:03
房地产,44,1,101012,0,9.82,8.04,20260622,0.62,0.72,-33.99,59.83,59.77,1.11,0.03,7.56,0.00,0.78,-1.76,-3.30,0.56,-9.73,-10.27,-11.42,7.01,18.11,-8.17,31.01,-218.98,-19.36,3313.00,9526.00,28960.00,25969.00,6071,14637,0.00,0.00,-0.34,618600.00,0.00,2.74,30.00,3984.58,13025.60,0.00,0.00,0,1,0,0,1,1,9.15,10.49,6.72,10.80,0.00,0.52,-22.59,-6.58,-5.36,0.00,2.64,0,0,0,0,0,30961.69,61.86,-2917.77,0.00,605302.48,1449546.65,0.00,933,0,0,0,0,20181228,20151228,20260430,20260317,20250305,20250305,0,000042.SZ,stock,2026-06-22 22:02:03
偏光片销售业务,100,2,90110,0,11.80,9.66,20260622,1.68,1.40,-7.94,53.44,48.22,0.92,0.07,75.85,0.09,-1.68,-4.20,1.27,-1.03,-8.18,-13.17,-13.66,-16.80,-13.31,-6.05,-4.44,552.19,-60.07,4078.00,5690.00,55776.00,38826.00,10157,23882,0.00,0.00,-0.28,239700.00,0.00,45.00,405.00,7452.08,22193.81,0.00,0.00,0,1,0,0,-2,5,10.89,16.29,10.28,3.90,0.00,0.92,60.15,79.44,77.91,0.45,1.78,0,0,0,0,0,22295.24,23.97,1749.69,2286.72,56890.79,160.14,0.00,1404,0,0,0,0,20160329,20130326,20260430,20260305,20251015,20251015,0,000045.SZ,stock,2026-06-22 22:02:03
猪业产品,68,0,50410,0,20.75,16.97,20260622,8.83,1.00,0.00,110.02,109.83,0.03,0.01,58.72,0.16,10.02,-1.41,0.10,9.74,47.16,52.46,37.97,6.96,17.90,65.47,35.45,-33375.38,17706.31,12178.00,0.00,730859.00,108443.00,48443,86591,1628.67,0.02,1.33,3686300.00,0.00,230.31,1209.00,58575.00,233415.17,0.00,0.00,0,9,5,1,1,10,19.04,24.24,12.43,4.80,0.00,0.02,-11.90,65.44,-52.54,1.97,2.93,0,0,0,0,0,24161.67,368.63,-22656.50,1064.59,79027.23,3231.10,0.00,3281,0,20251209,20230913,0,20260423,0,20260430,20260616,20260403,20260616,0,000048.SZ,stock,2026-06-22 22:02:03
智能手机类,90,2,10408,0,26.46,21.65,20260622,2.13,1.15,-23.09,91.97,91.94,0.78,0.06,144.90,0.00,-0.58,-1.35,-0.37,4.50,-2.25,-12.06,-15.69,-9.36,-10.29,-5.57,11.52,262.58,-1194.54,5436.00,7157.00,42255.00,40303.00,21331,47583,0.00,0.00,-0.58,614500.00,0.00,13.34,55.00,14388.73,47912.99,0.00,0.00,0,1,0,0,-3,1,24.07,31.27,20.99,4.95,0.00,0.92,28.77,31.65,28.59,0.96,1.35,0,0,0,0,0,20955.59,61.45,5541.72,24712.73,179959.36,4881.99,0.00,15450,0,0,0,0,20220913,0,20260423,20251201,20250407,20240628,0,000049.SZ,stock,2026-06-22 22:02:03
显示屏及显示模组,90,3,80110,0,9.83,8.05,20260622,4.55,1.49,30.59,226.04,226.04,0.73,0.12,779.80,0.79,3.80,-2.19,9.99,23.57,7.78,16.73,19.44,18.98,2.77,21.78,15.42,1022.04,9425.70,35094.00,82729.00,363716.00,290069.00,96350,153104,0.00,0.00,0.11,7983400.50,0.00,2278.17,25313.00,118470.35,272977.92,0.00,6347.00,0,3,1,0,1,1,8.72,10.65,7.30,4.50,0.00,1.00,-40.60,130.10,-319.16,0.00,0.84,0,0,0,0,0,136643.97,798.34,-16728.05,78000.73,487987.30,35720.42,0.00,23538,0,20250416,0,0,20240729,20200910,20260430,20260617,20250407,20230504,0,000050.SZ,stock,2026-06-22 22:02:03
